,Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
104,105,Casemiro,MF,Brazil,30,1.eng Manchester Utd,1992,4,4,390,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.6,3,23,6,0.23,0.0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14,Matches
105,106,Matty Cash,DF,Poland,24,1.eng Aston Villa,1997,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,9,9,6,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
106,107,Timothy Castagne,DF,Belgium,26,1.eng Leicester City,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,18,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
107,108,Jean-Charles Castelletto,DF,Cameroon,27,1.fr Nantes,1995,2,2,180,2.0,1,1,2,1,0,0,0,0,0.9,0.9,0.3,1.2,3,8,0,0.5,0.5,1.0,0.5,1.0,0.47,0.15,0.62,0.47,0.62,Matches
108,109,Lucas Cavallini,FW,Canada,29,1.us Vancouver W'caps,1992,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
109,110,Edinson Cavani,FW,Uruguay,35,1.es Valencia,1987,3,1,124,1.4,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,1,3,5,0.0,0.0,0.0,0.0,0.0,0.21,0.5,0.71,0.21,0.71,Matches
110,111,Ghaylène Chaalali,MF,Tunisia,28,1.tn Espérance de Tunis,1994,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
111,112,Daniel Chacón,MF,Costa Rica,21,1.cr CS Cartaginés,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
112,113,Ilias Chair,MF,Morocco,24,2.eng QPR,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
113,114,Kwon Chang-hoon,"FW,MF",Korea Republic,27,1.kr Sangju Sangmu,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches
114,115,Luis Chávez,MF,Mexico,26,1.mx Pachuca,1996,3,3,270,3.0,1,0,1,1,0,0,0,0,0.3,0.3,0.5,0.7,2,18,5,0.33,0.0,0.33,0.33,0.33,0.1,0.15,0.25,0.1,0.25,Matches
115,116,Walid Cheddira,FW,Morocco,24,2.it Bari,1998,2,0,64,0.7,0,0,0,0,0,0,2,1,0.5,0.5,0.0,0.5,1,3,4,0.0,0.0,0.0,0.0,0.0,1.24,0.0,1.24,1.24,1.24,Matches
116,117,Roozbeh Cheshmi,"DF,MF",IR Iran,28,1.ir Esteghlal,1993,2,1,58,0.6,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,1.55,0.0,1.55,1.55,1.55,0.08,0.0,0.08,0.08,0.08,Matches
117,118,Andreas Christensen,DF,Denmark,26,1.es Barcelona,1996,3,3,270,3.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,2,20,1,0.33,0.0,0.33,0.33,0.33,0.12,0.0,0.12,0.12,0.12,Matches
118,119,Hong Chul,DF,Korea Republic,31,1.kr Daegu,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
119,120,José Cifuentes,MF,Ecuador,23,1.us LAFC,1999,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
120,121,Pathé Ciss,MF,Senegal,28,1.es Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,9,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
121,122,Sebastián Coates,DF,Uruguay,31,1.pt Sporting CP,1990,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,7,1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
122,123,Rubin Colwill,MF,Wales,20,2.eng Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
123,124,Kingsley Coman,"FW,MF",France,26,1.de Bayern Munich,1996,6,1,169,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7,1,18,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15,Matches
124,125,Eray Cömert,DF,Switzerland,24,1.es Valencia,1998,2,0,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
125,126,Anthony Contreras,"FW,MF",Costa Rica,22,1.cr Herediano,2000,3,2,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
126,127,Andreas Cornelius,FW,Denmark,29,1.dk FC Copenhagen,1993,3,1,92,1.0,0,0,0,0,0,0,1,0,1.0,1.0,0.1,1.1,1,1,13,0.0,0.0,0.0,0.0,0.0,1.0,0.09,1.09,1.0,1.09,Matches
127,128,Ángel Correa,MF,Argentina,27,1.es Atlético Madrid,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
128,129,Diogo Costa,GK,Portugal,22,1.pt Porto,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
129,130,Thibaut Courtois,GK,Belgium,30,1.es Real Madrid,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
130,131,Jason Cummings,FW,Australia,26,1.au Central Coast,1995,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
131,132,Aymen Dahmen,GK,Tunisia,25,1.tn CS Sfaxien,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
132,133,Diogo Dalot,DF,Portugal,23,1.eng Manchester Utd,1999,3,3,258,2.9,0,2,2,0,0,0,0,0,0.0,0.0,0.7,0.8,6,10,12,0.0,0.7,0.7,0.0,0.7,0.01,0.25,0.27,0.01,0.27,Matches
133,134,Mikkel Damsgaard,"MF,FW",Denmark,21,1.eng Brentford,2000,3,1,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches
134,135,Danilo,DF,Brazil,30,1.it Juventus,1991,3,3,281,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,25,16,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
135,136,Achraf Dari,DF,Morocco,23,1.fr Brest,1999,3,2,187,2.1,1,0,1,1,0,0,1,0,0.6,0.6,0.0,0.6,0,3,0,0.48,0.0,0.48,0.48,0.48,0.3,0.0,0.3,0.3,0.3,Matches
136,137,Jonathan David,"FW,MF",Canada,22,1.fr Lille,2000,3,2,192,2.1,0,0,0,0,0,0,0,0,1.0,0.7,0.0,0.7,4,7,17,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.35,0.35,Matches
137,138,Alphonso Davies,"MF,DF",Canada,21,1.de Bayern Munich,2000,3,3,270,3.0,1,0,1,1,0,1,1,0,1.1,0.3,0.5,0.8,11,3,20,0.33,0.0,0.33,0.33,0.33,0.36,0.17,0.53,0.09,0.27,Matches
138,139,Ben Davies,DF,Wales,29,1.eng Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,13,2,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
139,140,Nasser Al-Dawsari,FW,Saudi Arabia,23,1.sa Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.27,1.27,0.0,1.27,Matches
140,141,Salem Al-Dawsari,MF,Saudi Arabia,30,1.sa Al-Hilal,1991,3,3,270,3.0,2,0,2,2,0,1,1,0,1.8,1.0,0.2,1.2,8,14,20,0.67,0.0,0.67,0.67,0.67,0.59,0.08,0.67,0.32,0.4,Matches
141,142,Giorgian De Arrascaeta,MF,Uruguay,28,1.br Flamengo,1994,2,1,108,1.2,2,0,2,2,0,0,0,0,1.2,1.2,0.5,1.7,1,5,14,1.67,0.0,1.67,1.67,1.67,1.01,0.45,1.45,1.01,1.45,Matches
142,143,Kevin De Bruyne,"FW,MF",Belgium,30,1.eng Manchester City,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,9,28,22,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.38,0.08,0.38,Matches
143,144,Charles De Ketelaere,FW,Belgium,21,1.it Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
144,145,Nicolás De La Cruz,MF,Uruguay,25,1.ar River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,2,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
145,146,Rodrigo De Paul,MF,Argentina,28,1.es Atlético Madrid,1994,7,7,599,6.7,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,16,37,20,0.0,0.0,0.0,0.0,0.0,0.14,0.05,0.19,0.14,0.19,Matches
146,147,Miloš Degenek,DF,Australia,28,1.us Crew,1994,4,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
147,148,Thomas Delaney,MF,Denmark,30,1.es Sevilla,1991,1,1,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
148,149,Ousmane Dembélé,FW,France,25,1.es Barcelona,1997,7,6,433,4.8,0,2,2,0,0,0,1,0,0.5,0.5,1.6,2.1,23,15,45,0.0,0.42,0.42,0.0,0.42,0.1,0.34,0.44,0.1,0.44,Matches
149,150,Leander Dendoncker,"DF,MF",Belgium,27,1.eng Aston Villa,1995,2,2,161,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,2,10,1,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.25,0.05,0.25,Matches
150,151,Sergiño Dest,DF,United States,21,1.it Milan,2000,4,4,305,3.4,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,11,18,12,0.0,0.3,0.3,0.0,0.3,0.07,0.15,0.22,0.07,0.22,Matches
151,152,Ángel Di María,"MF,FW",Argentina,34,1.it Juventus,1988,5,4,288,3.2,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.3,23,20,60,0.31,0.31,0.62,0.31,0.62,0.21,0.2,0.41,0.21,0.41,Matches
152,153,Boulaye Dia,FW,Senegal,25,1.it Salernitana,1996,4,4,318,3.5,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.8,4,3,19,0.28,0.0,0.28,0.28,0.28,0.2,0.01,0.21,0.2,0.21,Matches
153,154,Abdou Diallo,DF,Senegal,26,1.de RB Leipzig,1996,4,4,331,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,8,1,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
154,155,Rúben Dias,DF,Portugal,25,1.eng Manchester City,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
155,156,Krépin Diatta,"FW,MF",Senegal,23,1.fr Monaco,1999,3,3,181,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,5,10,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15,Matches
156,157,Famara Diedhiou,FW,Senegal,29,1.tr Alanyaspor,1992,2,1,92,1.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.98,0.0,0.98,0.98,0.98,0.19,0.03,0.22,0.19,0.22,Matches
157,158,Bamba Dieng,FW,Senegal,22,1.fr Marseille,2000,4,0,100,1.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,0,0,3,0.9,0.0,0.9,0.9,0.9,0.44,0.05,0.5,0.44,0.5,Matches
158,159,Eric Dier,DF,England,28,1.eng Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
159,160,Axel Disasi,DF,France,24,1.fr Monaco,1998,3,1,92,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
160,161,Alexander Djiku,"DF,FW",Ghana,27,1.fr Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
161,162,Ritsu Doan,FW,Japan,23,1.de Freiburg,1998,4,2,217,2.4,2,0,2,2,0,0,0,0,0.5,0.5,0.2,0.7,1,7,6,0.83,0.0,0.83,0.83,0.83,0.21,0.07,0.28,0.21,0.28,Matches
162,163,Jeremy Doku,"MF,FW",Belgium,20,1.fr Rennes,2002,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
163,164,Kasper Dolberg,FW,Denmark,24,1.es Sevilla,1997,3,1,114,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0,3,14,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.37,0.31,0.37,Matches
164,165,Mohamed Dräger,DF,Tunisia,25,1.ch Luzern,1996,2,2,132,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,4,9,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.15,0.14,0.15,Matches
165,166,Óscar Duarte,DF,Costa Rica,33,1.sa Al-Wehda,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
166,167,Mitchell Duke,FW,Australia,31,2.jp Fagi Okayama,1991,4,4,270,3.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,3,9,0.33,0.0,0.33,0.33,0.33,0.12,0.01,0.13,0.12,0.13,Matches
167,168,Denzel Dumfries,DF,Netherlands,26,1.it Inter,1996,5,5,479,5.3,1,2,3,1,0,0,2,1,0.4,0.4,0.3,0.7,12,14,37,0.19,0.38,0.56,0.19,0.56,0.08,0.06,0.14,0.08,0.14,Matches
168,169,Paulo Dybala,FW,Argentina,28,1.it Roma,1993,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.03,0.0,1.03,Matches
169,170,Enzo Ebosse,DF,Cameroon,23,1.it Udinese,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
170,171,Ederson,GK,Brazil,28,1.eng Manchester City,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
171,172,Jorge Eduardo Sánchez,DF,Mexico,24,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,14,13,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
172,173,Nico Elvedi,DF,Switzerland,25,1.de Gladbach,1996,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,7,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
173,174,Breel Embolo,FW,Switzerland,25,1.fr Monaco,1997,4,4,323,3.6,2,0,2,2,0,0,0,0,2.3,2.3,0.1,2.4,7,5,18,0.56,0.0,0.56,0.56,0.56,0.64,0.03,0.67,0.64,0.67,Matches
174,175,Youssef En-Nesyri,FW,Morocco,25,1.es Sevilla,1997,7,7,542,6.0,2,0,2,2,0,0,0,0,1.2,1.2,0.0,1.3,2,1,14,0.33,0.0,0.33,0.33,0.33,0.21,0.01,0.21,0.21,0.21,Matches
175,176,Wataru Endo,MF,Japan,29,1.de Stuttgart,1993,4,3,304,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.6,3,17,6,0.0,0.0,0.0,0.0,0.0,0.06,0.15,0.21,0.06,0.21,Matches
176,177,Devis Epassy,GK,Cameroon,29,1.sa Abha,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
177,178,Christian Eriksen,MF,Denmark,30,1.eng Manchester Utd,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,5,21,18,0.0,0.0,0.0,0.0,0.0,0.06,0.14,0.2,0.06,0.2,Matches
178,179,Michael Estrada,FW,Ecuador,26,1.mx Cruz Azul,1996,3,3,225,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,9,7,0.0,0.0,0.0,0.0,0.0,0.13,0.01,0.13,0.13,0.13,Matches
179,180,Pervis Estupiñán,DF,Ecuador,24,1.eng Brighton,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,4,12,17,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches
180,181,Stephen Eustáquio,MF,Canada,25,1.pt Porto,1996,2,2,125,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0,14,2,0.0,0.0,0.0,0.0,0.0,0.13,0.11,0.24,0.13,0.24,Matches
181,182,Saeid Ezatolahi,MF,IR Iran,25,2.dk Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,5,1,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches
182,183,Abde Ezzalzouli,"FW,MF",Morocco,20,1.es Osasuna,2001,3,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,1,2,6,0.0,0.0,0.0,0.0,0.0,0.09,0.39,0.49,0.09,0.49,Matches
183,184,Fabinho,MF,Brazil,28,1.eng Liverpool,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
184,185,Collins Fai,DF,Cameroon,29,1.sa Al-Ta'ee,1992,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,5,11,5,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
185,186,Salman Al-Faraj,MF,Saudi Arabia,32,1.sa Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
186,187,Christian Fassnacht,FW,Switzerland,28,1.ch Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,3,0.0,0.0,0.0,0.0,0.0,2.58,0.0,2.58,2.58,2.58,Matches
187,188,Abdul Fatawu Issahaku,FW,Ghana,18,1.pt Sporting CP,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
188,189,Ansu Fati,FW,Spain,19,1.es Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
189,190,João Félix,FW,Portugal,22,1.es Atlético Madrid,1999,4,4,331,3.7,1,2,3,1,0,0,1,0,0.8,0.8,0.4,1.3,10,10,24,0.27,0.54,0.82,0.27,0.82,0.23,0.11,0.34,0.23,0.34,Matches
190,191,Bruno Fernandes,"FW,MF",Portugal,27,1.eng Manchester Utd,1994,4,4,356,4.0,2,3,5,1,1,1,1,0,1.1,0.3,1.7,2.1,10,31,25,0.51,0.76,1.26,0.25,1.01,0.28,0.44,0.72,0.08,0.52,Matches
191,192,Edimilson Fernandes,"FW,DF",Switzerland,26,1.de Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,2,3,9,0.0,0.0,0.0,0.0,0.0,0.02,0.22,0.24,0.02,0.24,Matches
192,193,Enzo Fernández,MF,Argentina,21,1.pt Benfica,2001,7,5,564,6.3,1,1,2,1,0,0,1,0,0.3,0.3,0.9,1.2,16,34,6,0.16,0.16,0.32,0.16,0.32,0.05,0.16,0.21,0.05,0.21,Matches
193,194,Jesús Ferreira,FW,United States,21,1.us FC Dallas,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
194,195,Phil Foden,"FW,MF",England,22,1.eng Manchester City,2000,4,3,258,2.9,1,2,3,1,0,0,0,0,1.1,1.1,0.5,1.6,5,7,36,0.35,0.7,1.05,0.35,1.05,0.38,0.18,0.55,0.38,0.55,Matches
195,196,Youssouf Fofana,MF,France,23,1.fr Monaco,1999,6,2,227,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,6,11,4,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches
196,197,Juan Foyth,DF,Argentina,24,1.es Villarreal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
197,198,Alan Franco,MF,Ecuador,23,1.ar Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
198,199,Przemysław Frankowski,MF,Poland,27,1.fr Lens,1995,4,3,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,3,5,8,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.11,0.01,0.11,Matches
199,200,Fred,MF,Brazil,29,1.eng Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,0,11,5,0.0,0.0,0.0,0.0,0.0,0.23,0.16,0.39,0.23,0.39,Matches
200,201,Fabian Frei,MF,Switzerland,33,1.ch Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
201,202,Remo Freuler,MF,Switzerland,30,1.eng Nott'ham Forest,1992,4,4,323,3.6,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,13,8,0.28,0.0,0.28,0.28,0.28,0.11,0.0,0.11,0.11,0.11,Matches
202,203,Keysher Fuller,"DF,MF",Costa Rica,27,1.cr Herediano,1994,3,3,253,2.8,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.5,1,2,5,0.36,0.0,0.36,0.36,0.36,0.14,0.05,0.19,0.14,0.19,Matches
203,204,Niclas Füllkrug,FW,Germany,29,1.de Werder Bremen,1993,3,0,69,0.8,2,1,3,2,0,0,0,0,2.2,2.2,0.6,2.8,1,1,10,2.61,1.3,3.91,2.61,3.91,2.86,0.76,3.62,2.86,3.62,Matches
204,205,Rogelio Funes Mori,FW,Mexico,31,1.mx Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,1.23,1.23,1.23,Matches
205,206,Cody Gakpo,"FW,MF",Netherlands,23,1.nl PSV Eindhoven,1999,5,5,450,5.0,3,0,3,3,0,0,0,0,0.3,0.3,0.6,0.9,14,11,27,0.6,0.0,0.6,0.6,0.6,0.06,0.12,0.18,0.06,0.18,Matches
206,207,Hernán Galíndez,GK,Ecuador,35,1.ec SD Aucas,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
207,208,Jesús Gallardo,DF,Mexico,27,1.mx Monterrey,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,7,14,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
208,209,Idrissa Gana Gueye,MF,Senegal,32,1.eng Everton,1989,3,3,270,3.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,10,8,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.14,0.11,0.14,Matches
209,210,Gavi,MF,Spain,17,1.es Barcelona,2004,4,4,284,3.2,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,6,10,23,0.32,0.0,0.32,0.32,0.32,0.04,0.03,0.07,0.04,0.07,Matches
210,211,Sultan Al-Ghanam,"DF,MF",Saudi Arabia,28,1.sa Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,5,11,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.17,0.12,0.17,Matches
